Timestamp	operation-automated	config-track-changes	config-decide-changes	config-automated-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	troubleshoot	software-upgrade	software-validation	anomaly-detection	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-other	env-virtual-network	env-server-automation	env-location	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-tools-ansible	trend-tools-chef	trend-tools-puppet	trend-tools-saltstack	trend-tools-napalm	trend-tools-git	trend-tools-keyword-testing	trend-tools-ci	trend-tools-stackstorm	trend-tools-apstra	trend-tools-gluware	trend-tools-anuta-networks	feedback
10/31/16 17:07	"Configuration generation, Configuration deployment, Configuration archiving"	Version control	No	Yes	Ansible	1 to 5 per week	1 to 5 per week	Solarwind NCM	Solarwind NCM		Solarwind NCM	251-1000	"Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access, WAN"	A lot	None	None	None	None	A little	None	Vendor provided solution	We don't have automation for server	North America	Currently evaluating it	No interest	I don't know	Thinking about it	No interest	I don't know	I don't know	Already in production	No interest	No interest	I don't know	Thinking about it	I don't know	Thinking about it	Thinking about it	I don't know	I don't know	No interest	No interest	
10/31/16 17:37	"Configuration generation, Configuration deployment, Anomaly detection, Data Collection / Reporting"	Rancid/Oxidized	No	Yes	Custom scripts (python ..)	More than 1 a day		"Specific web (internet) tools, Third Party Software"	We haven't automated software upgrades	We haven't automated software qualification	Vendor specific tools	251-1000	Juniper	"Datacenter, Campus/User Access"	A lot							We are not using virtual network devices for training or qualification	We don't have automation for server	Pacific	I don't know	Already in production	I don't know	No interest	Already in production	I don't know	Thinking about it	I don't know	Thinking about it	Thinking about it	I don't know	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
10/31/16 17:49	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Software upgrade, Pre/Post Change Checks, Data Collection / Reporting, Compliance Checks"	"FTP/SCP/TFTP, Vendor specific tools"	No	Yes	"Ansible, Custom scripts (python ..), Network vendor specific tools"	1 to 5 per week	Less than 1 per month	"Vendor specific tools, VMWare vRealize Network Insight"	"Network vendor specific tools, VMWare NSX"		Syslog	1001+	"Arista Networks, Brocade, Cisco IOS, Cisco NX-OS, HPE"	"Datacenter, WAN"	A lot	None	A little	A little	None	A lot	A little	"Vagrant, VMWare, OpenStack, Docker or Containers"	"Ansible, Chef, Puppet"	North America	Thinking about it	Thinking about it	I don't know	Currently evaluating it	Currently evaluating it	Already in production	I don't know	Currently Evaluating it	Thinking about it	Thinking about it	I don't know	I don't know	Currently Evaluating it	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	
10/31/16 17:51	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving"	"Version control, Rancid/Oxidized"	No	Yes	Ansible	1 to 5 per week	1 to 5 per month	Ansible	Ansible	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Arista Networks, Dell"	Datacenter	A little	A little	None	A lot	None	A lot	A little	VMWare	Ansible	North America	Already in production	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Already in production	No interest	No interest	No interest	No interest	Already in production	No interest	Thinking about it	No interest	No interest	No interest	No interest	
10/31/16 19:00	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration archiving, Data Collection / Reporting"	Rancid/Oxidized	Partially	Yes	Custom scripts (python ..)	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Juniper"	"Datacenter, Campus/User Access, Internet Peering, WAN, SP Backbone"	A little	None	None	None	None	A little	A little	VMWare	We don't have automation for server	Pacific	I don't know	Thinking about it	I don't know	I don't know	Thinking about it	I don't know	I don't know	Thinking about it	I don't know	Already in production	I don't know	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
10/31/16 19:08	"Configuration generation, Configuration archiving, Compliance Checks"	Rancid/Oxidized	No	Yes	Custom scripts (python ..)	More than 1 a day	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco NX-OS, VMWare"	"Datacenter, WAN"	None	None	None	None	None	A little	A little	"VMWare, Docker or Containers"	"Vendor Specific, Microsoft SCCM"	North America	Currently evaluating it	Thinking about it	No interest	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	No interest	No interest	No interest	No interest	No interest	Currently Evaluating it	No interest	Currently Evaluating it	No interest	No interest	No interest	No interest	
10/31/16 19:26	"Day 0 Provisioning using a vendor solution, Configuration generation"	We are not keeping track of that	No	Yes	"Ansible, Custom scripts (python ..)"	1 to 5 per month	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	0-50	"Cisco IOS, Juniper"	Campus/User Access	A little	None	None	None	None	A little	None	"Vagrant, GNS3"	Ansible	North America	Currently evaluating it	Thinking about it	No interest	Thinking about it	Currently evaluating it	Thinking about it	No interest	Already in production	No interest	No interest	No interest	Thinking about it	Already in production	No interest	Already in production	I don't know	I don't know	I don't know	I don't know	
10/31/16 19:46	"Configuration generation, Configuration archiving, Troubleshooting, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	No	No	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per month	Custom scripts (python ..)	We haven't automated software upgrades	We haven't automated software qualification	"Syslog, Custom scripts"	251-1000	"Brocade, Cisco IOS, Juniper, Alcatel-Lucent"	"Internet Peering, SP Backbone"	A lot	None	A little	None	A little	A lot	A little	"Vagrant, Bare hypervisor - KVM, GNS3"	Ansible	North America	Currently evaluating it	I don't know	Thinking about it	Currently evaluating it	Already in production	Thinking about it	No interest	Already in production	No interest	Currently Evaluating it	No interest	Currently Evaluating it	Already in production	No interest	Currently Evaluating it	No interest	No interest	No interest	No interest	
10/31/16 20:31	"Day 0 Provisioning using a vendor solution, Configuration archiving, Software upgrade"	Vendor specific tools	No	Yes		1 to 5 per week	Less than 1 per month	"Ansible, NAPALM, Custom scripts (python ..)"	"Network vendor specific tools, Cisco Cluster Management Suite"		"Ansible, NAPALM, Custom scripts"	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS"	"Datacenter, Internet Peering, WAN"	A lot					A little		"VMWare, GNS3, Vendor provided solution"		North America	Currently evaluating it	Thinking about it	I don't know	I don't know	Currently evaluating it	Currently evaluating it	Thinking about it	Currently Evaluating it				Currently Evaluating it	Currently Evaluating it							
10/31/16 20:46	Configuration archiving	"ManageEngine DeviceExpert, Third Party Software"	No	Yes	Custom scripts (python ..)	1 to 5 per month	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Cisco IOS, Cisco NX-OS, Palo Alto Networks"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	A little	None	Vendor provided solution	"Ansible, Microsoft SCCM"	North America	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Already in production	No interest	No interest	No interest	Thinking about it	Already in production	I don't know	Thinking about it	I don't know	I don't know	No interest	No interest	
10/31/16 23:19	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Pre/Post Change Checks, Data Collection / Reporting, Compliance Checks"	"Version control, Rancid/Oxidized"	Partially	No	NAPALM	1 to 5 per month	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	Ansible	NAPALM	51-250	"Arista Networks, Cisco IOS"	Internet Peering	A lot	None	None	A little	None	A lot	None	"Vagrant, Docker or Containers"	Ansible	Europe	Already in production	Currently evaluating it	Thinking about it	Currently evaluating it	Already in production	Thinking about it	I don't know	Currently Evaluating it	Thinking about it	Thinking about it	No interest	Already in production	Already in production	I don't know	No interest	I don't know	I don't know	I don't know	I don't know	
11/1/16 0:36	Data Collection / Reporting	Vendor specific tools	No	Yes	Network vendor specific tools	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	Syslog	251-1000	"Cisco IOS, Dell, Juniper, HPE, Palo Alto Networks"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	A little	A little	"VMWare, GNS3, UNetLab, Vendor provided solution"	"Ansible, SaltStack, Microsoft SCCM"	Europe	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	I don't know	No interest	Currently Evaluating it	No interest	No interest	Thinking about it	Thinking about it	Already in production	Thinking about it	Thinking about it	Thinking about it	I don't know	No interest	I don't know	
11/1/16 1:20	"Configuration generation, Configuration archiving, Software upgrade"	Vendor specific tools	No	No	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	"Network vendor specific tools, HPE Intelligent Management Centre"	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco IOS, HPE, Fortinet"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	A lot	None	"Vagrant, VMWare, GNS3, UNetLab, Homemade solution"	Microsoft SCCM	Europe	Thinking about it	Thinking about it	No interest	No interest	No interest	Thinking about it	No interest	Currently Evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Currently Evaluating it	No interest	No interest	No interest	No interest	No interest	No interest	
11/1/16 2:27	"Configuration generation, Configuration deployment"	Version control	Partially	Yes	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per week	"Ansible, Custom scripts (python ..)"	"Network vendor specific tools, We haven't automated software upgrades"		We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Cisco NX-OS, Juniper, Check Point"	"Datacenter, Campus/User Access, Public Cloud"	A lot	None	None	None	None	A little	None	"Vagrant, VMWare, OpenStack, Docker or Containers"	Ansible	Europe	Currently evaluating it	Thinking about it	Thinking about it	Already in production	Already in production	No interest		Already in production	No interest	No interest	Thinking about it	No interest	Already in production	No interest	Already in production	No interest	No interest	No interest	No interest	
11/1/16 2:34	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Software upgrade, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	Version control	No	Yes	"Ansible, SaltStack, Custom scripts (python ..)"	More than 1 a day	1 to 5 per week	"Ansible, SaltStack, Custom scripts (python ..), Vendor specific tools, JSNAPy"	"Ansible, Custom scripts (python ..)"	"Ansible, Robot Framework / Behave, SaltStack, Custom scripts, Network vendor specific tools, JSNAPy"	"Ansible, SaltStack, Custom scripts, Vendor specific tools, JSNAPy"	51-250	Juniper	"Datacenter, SP Backbone"	A lot	None	None	None	A lot	A lot	A lot	"Vagrant, VMWare, OpenStack, Docker or Containers, Bare hypervisor - KVM, Homemade solution, Vendor provided solution"	"Ansible, SaltStack"	Pacific	Already in production	Already in production	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Currently evaluating it	Already in production	No interest	No interest	Currently Evaluating it		Already in production	Already in production	Already in production					
11/1/16 3:18	"Configuration archiving, Data Collection / Reporting"	Version control	No	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Internet Peering"	A little					A little		We are not using virtual network devices for training or qualification	Ansible	Europe	I don't know	No interest	I don't know	I don't know	Thinking about it	I don't know	I don't know	Currently Evaluating it												
11/1/16 5:19	"Configuration generation, Configuration archiving, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Rancid/Oxidized, Vendor specific tools"	No	Yes	Network vendor specific tools	More than 1 a day	1 to 5 per month	Custom scripts (python ..)	"Network vendor specific tools, Cisco Prime"	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little					A little		"GNS3, Homemade solution"	"Ansible, Chef, Puppet, Vendor Specific, Microsoft SCCM"	North America	Currently evaluating it	Currently evaluating it	Thinking about it	Already in production	Currently evaluating it	Thinking about it	Thinking about it	Currently Evaluating it	Currently Evaluating it	Currently Evaluating it	I don't know	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/1/16 5:33	Day 0 Provisioning using a vendor solution	Version control	No	No		1 to 5 per week	Less than 1 per month					51-250	"Cisco IOS, Fortinet"	"Datacenter, Campus/User Access"	None	None	None	None	None	None	None	GNS3	SaltStack	Europe	Thinking about it	Thinking about it	I don't know	Thinking about it	Currently evaluating it	I don't know	I don't know	Thinking about it		Thinking about it	Thinking about it		Currently Evaluating it							
11/1/16 6:23	Configuration archiving	Rancid/Oxidized	No	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day		We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Brocade, Cisco IOS, Cisco NX-OS, Cisco IOS XR"	"Datacenter, Internet Peering, SP Backbone"	A little	None	A little	None	None	A lot	None	"Vagrant, VMWare, GNS3"	SaltStack	North America	No interest	Currently evaluating it	I don't know	Thinking about it	Thinking about it	Thinking about it	I don't know	Currently Evaluating it	Thinking about it	Already in production	Already in production	Currently Evaluating it	Currently Evaluating it	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	
11/1/16 6:50	"Configuration generation, Configuration deployment, Configuration archiving, Compliance Checks"	"Version control, Rancid/Oxidized"	Partially	Yes	"Ansible, Custom scripts (python ..)"	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	Custom scripts (python ..)	We haven't automated software qualification	"Syslog, Custom scripts"	1001+	"Cisco IOS, Mikrotik, Netonix"	SP Backbone	A lot	None	A little	None	None	None	A little	"VMWare, GNS3"	Ansible	Australia / Oceania / Pacific Islands 	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	Already in production	No interest	No interest	No interest	Already in production	Already in production	Thinking about it	Already in production	Thinking about it	No interest	No interest	No interest	
11/1/16 6:50	"Configuration generation, Configuration deployment, Configuration archiving, Pre/Post Change Checks"	Version control	Partially	Yes	Custom scripts (python ..)	More than 1 a day	1 to 5 per week	Custom scripts (python ..)	Custom scripts (python ..)	We haven't automated software qualification	"Syslog, Custom scripts"	1001+	"Arista Networks, Cisco IOS, Cisco NX-OS"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little		A lot			A little	A lot	VMWare		North America	Thinking about it	Already in production	No interest	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it												
11/1/16 6:59	"Configuration archiving, Troubleshooting, Data Collection / Reporting"	"Rancid/Oxidized, Vendor specific tools"	No	No	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per month	"Vendor specific tools, Cisco Prime"	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS, Dell"	"Datacenter, Campus/User Access, Internet Peering"	A little					A little		We are not using virtual network devices for training or qualification	Vendor Specific	North America	No interest	Thinking about it	I don't know	I don't know	I don't know	Thinking about it	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/1/16 7:09	"Configuration generation, Configuration archiving"	"rConfig, Third Party Software"	No	Yes	rConfig	1 to 5 per week	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Cisco IOS, Fortinet"	"Datacenter, Campus/User Access, WAN"	None	None	None	None	None	A lot	None	VMWare	We don't have automation for server	North America	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Thinking about it	Already in production	No interest	No interest	No interest	No interest	Thinking about it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
11/1/16 7:11	Configuration archiving	Vendor specific tools	No	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Brocade, Cisco IOS, Cisco NX-OS, Dell"	"Datacenter, Internet Peering, WAN, SP Backbone"	A little	None	None	A little	None	A little	A little	"VMWare, GNS3"	Puppet	Europe	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	I don't know	I don't know	Thinking about it	No interest	Already in production	No interest	I don't know	Already in production	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/1/16 7:30		We are not keeping track of that	No	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per week	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Brocade, Cisco IOS, Cisco NX-OS, Siemens RUGGEDCOM"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	None	None	None	None	None		We don't have automation for server	North America	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
11/1/16 7:32	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration archiving, Data Collection / Reporting"	"Version control, Vendor specific tools"	Partially	Yes	"Ansible, Custom scripts (python ..), Controller, Network vendor specific tools, Third Party Software"	1 to 5 per week	1 to 5 per month	"Ansible, Custom scripts (python ..)"	Network vendor specific tools	"Ansible, Puppet"		1001+	"Cisco IOS, Cisco NX-OS, Dell, Juniper, HPE"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little					A little		"Vagrant, VMWare, Vendor provided solution"	"Ansible, Puppet, Vendor Specific"	North America	Currently evaluating it	Currently evaluating it	I don't know	I don't know	Currently evaluating it	Thinking about it	Thinking about it	Currently Evaluating it		Already in production			Already in production		I don't know		Thinking about it		Already in production	
11/1/16 7:42	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade"	Version control	No	Yes	"Ansible, Custom scripts (python ..)"	1 to 5 per week	1 to 5 per month		Ansible			51-250	Juniper	"Datacenter, Campus/User Access"	A little					A little			"Ansible, Puppet"	North America	Thinking about it	Thinking about it	I don't know	Thinking about it	I don't know	Thinking about it	I don't know	Already in production	I don't know	I don't know	I don't know	I don't know	Already in production	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	
