Timestamp	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-expect	env-language-powershell	env-language-other	env-virtual-network	env-server-automation	env-location	org-preference	operation-automated	config-track-changes	config-decide-changes	config-automated-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	software-upgrade	software-validation	anomaly-detection-sources	anomaly-detection-signal	transition-team-how-long	transition-team-actions	transition-self-how-long	transition-self-nbr-hours	transition-self-find-time	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-topics-sot	trend-topics-graph-db	trend-topics-network-health	trend-tools-ansible	trend-tools-chef	trend-tools-puppet	trend-tools-saltstack	trend-tools-napalm	trend-tools-nornir	trend-tools-netbox	trend-tools-elk	trend-tools-tsdb	trend-tools-kentik	trend-tools-nso	trend-tools-git	trend-tools-network-verification	trend-tools-keyword-testing	trend-tools-ci	trend-tools-stackstorm	feedback
10/10/19 18:19	51-250	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, HPE/Aruba, VMWare, Mikrotik"	"Datacenter, Campus/User Access"	A little	None	None	None	None	A little	A little	None	None	We are not using virtual network devices for training or qualification	We don't have automation for servers	South America	"no prefered approach, varies on case by case"	"Configuration archiving, Compliance Checks"	Rancid/Oxidized	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per week	1 to 5 per month	We haven't automated software upgrades	We haven’t automated software qualification		We haven’t automated the detection of anomaly	1 to 2 years	Some of us learned on their own	1 to 2 years	0-200	Dedicated some time per week at work	No interest	I don't know	I don't know	Thinking about it	Thinking about it	I don't know	Thinking about it	I don't know	I don't know	Thinking about it							Already in production										
10/10/19 18:22	1001-5000	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, VMWare, Cisco Meraki"	"Datacenter, Campus/User Access"	A little	None	None	None	None	None	None	None	None	"VMWare, GNS3"	We don't have automation for servers	North America	buy	Configuration archiving	Solarwind NCM	Partially	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day	1 to 5 per week	Network vendor specific tools	We haven’t automated software qualification	"Other active probes (IP SLA/RPM), SNMP, Syslog"	Up/Down/Threshold alert	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"				No interest	Thinking about it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	Currently evaluating it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	Little to no standardization combined with rapid changes is holding the automation trend back.
10/10/19 18:29	51-250	"Arista, Cisco IOS/IOS XE, Cisco IOS XR, Cumulus, Dell/EMC, Juniper, HPE/Aruba"	"Datacenter, Internet Peering, WAN, Service Provider / Edge"	A lot	A little	A little	None	A little	A little	None	None	A little	"Non-VMWare hypervisor (KVM et al.), Homemade solution"	SaltStack	Europe	build internally	"Configuration generation, Configuration deployment, Anomaly detection, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	Partially	No	"SaltStack, Custom scripts using common libraries (netmiko/napalm)"	1 to 5 per week	1 to 5 per month	"SaltStack, Low level custom scripts (Python paramiko/socket), Custom scripts using common libraries (netmiko/napalm)"	We haven’t automated software qualification	"ICMP/PING, SNMP, Syslog, sFlow/Netflow, Routing Information, Streaming Telemetry"	Up/Down/Threshold alert	2 to 5 years	Some of us learned on their own	1 to 2 years	201-1000	Learned on my own time	Thinking about it	Currently evaluating it	Already in production	Thinking about it	Already in production	Already in production	I don't know	Already in production	Already in production	Already in production	No interest	No interest	No interest	Already in production	Already in production	No interest	Already in production	Currently Evaluating it	Already in production	No interest	I don't know	Already in production	Currently Evaluating it	I don't know	I don't know	Currently Evaluating it	
10/10/19 18:54	1001-5000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Juniper, VMWare, Google GCP, Amazon AWS, Microsoft Azure"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot	A little	A lot	None	None	A little	None	A little		"Vagrant, VMWare, Docker Compose, Kubernetes, GNS3, EVE-NG, Vendor provided solution (VIRL / Junosphere .. )"	"Ansible, Puppet"	North America	use open source with support	"Configuration generation, Configuration deployment, Configuration archiving, Troubleshooting, Pre/Post Change Checks, Data Collection / Reporting, Compliance Checks"	Version control	Partially	Yes	"Ansible, Nornir, NAPALM, Custom scripts using common libraries (netmiko/napalm)"	1 to 5 per week	1 to 5 per month	Custom scripts using common libraries (netmiko/napalm)	"Ansible, Robot Framework / Behave, Custom scripts using common libraries (netmiko/napalm)"	"ICMP/PING, Routing Information, API, Streaming Telemetry"	Up/Down/Threshold alert	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training, We participated in hackathon(s)"	2 to 5 years	1001-4000	Learned on my own time	Already in production	Currently evaluating it	Already in production	Already in production	Already in production	Currently evaluating it	Thinking about it	Currently evaluating it	No interest	Thinking about it	Already in production	No interest	Thinking about it	No interest	Already in production	Already in production	Currently Evaluating it	Currently Evaluating it	Currently Evaluating it	Thinking about it	Currently Evaluating it	Already in production	Thinking about it	Already in production	Already in production	No interest	
10/10/19 18:58	51-250	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, Dell/EMC, VMWare, Microsoft Azure, Fortinet, Cisco ASA"	"Datacenter, Campus/User Access, WAN, Service Provider / Edge, Public Cloud"	A lot					A little	A little	A lot		"VMWare, Non-VMWare hypervisor (KVM et al.), GNS3, EVE-NG"	"Ansible, Vendor Specific"	South America	"no prefered approach, varies on case by case"	"Configuration archiving, Data Collection / Reporting, Compliance Checks"	"Vendor specific tools, Low level custom scripts (Python paramiko/socket), Solarwind NCM"	Partially	Yes		More than 1 a day	1 to 5 per month			"SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	1001-4000	Learned on my own time	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Already in production	Already in production	No interest	Thinking about it	No interest	Currently Evaluating it	No interest	No interest	Currently Evaluating it	Currently Evaluating it	No interest	No interest	Already in production	I don't know	I don't know	Currently Evaluating it	I don't know	
10/10/19 19:08	251-1000	"Cisco NX-OS/ACI, Dell/EMC, VMWare, Microsoft Azure"	"Datacenter, Campus/User Access"	A lot	None	None	None	None	None	None	A little	None	"VMWare, Non-VMWare hypervisor (KVM et al.), GNS3, Vendor provided solution (VIRL / Junosphere .. )"	"Ansible, Microsoft SCCM"	North America	"no prefered approach, varies on case by case"	Configuration archiving	Vendor specific tools	No	Yes	"Ansible, Low level custom scripts (Python paramiko/socket)"	More than 1 a day	1 to 5 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, SNMP, Syslog, API"	"Up/Down/Threshold alert, Events correlation / rule engine"	Less than 1 year	Some of us learned on their own	Less than 1 year	0-200	Learned on my own time	Currently evaluating it	I don't know	No interest	Thinking about it	Already in production	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Already in production	Already in production	No interest	No interest	No interest	Thinking about it	Thinking about it	Thinking about it	Currently Evaluating it	Thinking about it	I don't know	I don't know	No interest	No interest	I don't know	No interest	I don't know	
10/10/19 19:46	0-50	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, VMWare, Amazon AWS, Microsoft Azure"	"Datacenter, WAN, Public Cloud"	A lot	None	A little	None	None	A little	A little	None	None	"Vagrant, VMWare, Docker Compose, Kubernetes, GNS3, Vendor provided solution (VIRL / Junosphere .. )"	Ansible	North America	use open source without support	"Configuration generation, Configuration deployment, Data Collection / Reporting"	Version control	Yes	Yes	"Ansible, Low level custom scripts (Python paramiko/socket), Custom scripts using common libraries (netmiko/napalm)"	1 to 5 per month	Less than 1 per month	We haven't automated software upgrades	Ansible	"SNMP, Syslog, sFlow/Netflow"	"Up/Down/Threshold alert, Events correlation using AI/ML"	More than 5 years	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	201-1000	Learned on my own time	Currently evaluating it	Currently evaluating it	No interest	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Already in production	No interest	No interest	No interest	Thinking about it	Thinking about it	Thinking about it	Already in production	No interest	Thinking about it	No interest	Currently Evaluating it	Thinking about it	I don't know	Thinking about it	I don't know	
10/10/19 19:52	51-250	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, VMWare"	"Datacenter, Campus/User Access, WAN, Service Provider / Edge"	A little					A little				We are not using virtual network devices for training or qualification	Microsoft SCCM	"North America, Europe, Asia"	"no prefered approach, varies on case by case"	"Anomaly detection, Data Collection / Reporting, Topology Mapping"	Kiwi CatTools	No	No	We haven't automated the generation or deployment of our configurations	1 to 5 per month	Less than 1 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	Less than 1 year					No interest	Thinking about it	No interest	No interest	No interest	Thinking about it		No interest	No interest	Already in production	Thinking about it	Thinking about it	Thinking about it	No interest	No interest	No interest	No interest	Thinking about it	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
10/10/19 20:25	251-1000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Juniper"	"Datacenter, Campus/User Access"	A lot	None	None	None	None	None	None	None	None	GNS3	Nornir	North America	use open source without support	"Configuration deployment, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Version control, Custom scripts using common libraries (netmiko/napalm)"	Yes	Yes	"Nornir, NAPALM, HPE Network Automation (HP NA)"	More than 1 a day	Less than 1 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, API"	"Up/Down/Threshold alert, Events correlation / rule engine"	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	0-200	Dedicated some time per week at work	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Thinking about it	No interest	Thinking about it	No interest	Thinking about it	No interest	No interest	Thinking about it	I don't know	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	Already in production	No interest	No interest	I don't know	No interest	
10/10/19 20:30	5001-10000	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, Juniper"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	None	None	None	None	"GNS3, EVE-NG"	We don't have automation for servers	Asia	use open source without support	"Configuration generation, Fault Remediation, Data Collection / Reporting, Compliance Checks"	Solarwind NCM	Partially	No		1 to 5 per week	1 to 5 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog"	"Up/Down/Threshold alert, Proactive monitoring data analysis using AI/ML"	Less than 1 year	We hired dedicated Network Automation Engineer(s)	Less than 1 year	0-200	Transitioned into the new role full-time and learned on the job	Thinking about it	Currently evaluating it	Currently evaluating it	Currently evaluating it	Currently evaluating it	Currently evaluating it	I don't know	I don't know	No interest	Already in production	I don't know																
10/10/19 20:57	1001-5000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Juniper, Microsoft Azure"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot	None	None	None	None	A little	None	None	None	"Vagrant, VMWare, Docker Compose, Non-VMWare hypervisor (KVM et al.), EVE-NG"	Ansible	North America	use open source without support	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Software upgrade, Fault Remediation, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks, Topology Mapping"	"Version control, Solarwind NCM"	Yes	Yes	"Ansible, Nornir, NAPALM, Low level custom scripts (Python paramiko/socket), Network vendor specific tools"	1 to 5 per month		Ansible	Ansible	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog, sFlow/Netflow, Routing Information, API, Streaming Telemetry"	"Up/Down/Threshold alert, Events correlation / rule engine, Events correlation using AI/ML"	2 to 5 years	"Some of us learned on their own, We hired dedicated Network Automation Engineer(s)"	2 to 5 years	1001-4000	Learned on my own time	Already in production	Currently evaluating it	Thinking about it	Thinking about it	Already in production	Already in production	No interest	Already in production	Currently evaluating it	Already in production	Already in production	No interest	No interest	Thinking about it	Currently Evaluating it	Thinking about it	Currently Evaluating it	Currently Evaluating it	Currently Evaluating it	I don't know	No interest	Already in production	Thinking about it	Thinking about it	Already in production	No interest	
10/10/19 21:06	5001-10000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Juniper, HPE/Aruba, Google GCP, Microsoft Azure"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A little	None	None	None	None	A little	None	None	None	"GNS3, Vendor provided solution (VIRL / Junosphere .. )"	Ansible	North America	"no prefered approach, varies on case by case"		"Version control, Solarwind NCM, HPE Network Automation (HP NA)"	No	Yes	"Ansible, HPE Network Automation (HP NA)"	More than 1 a day	1 to 5 per month			"Other active probes (IP SLA/RPM), SNMP, Syslog"	Up/Down/Threshold alert	Less than 1 year	Some of us learned on their own	Less than 1 year	201-1000	Learned on my own time	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	No interest	Already in production	Thinking about it	I don't know	Already in production	Already in production	No interest	No interest	Thinking about it	No interest	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	I don't know	Already in production	Thinking about it	Thinking about it	Already in production	No interest	
10/10/19 21:08	251-1000	"Cisco IOS/IOS XE, Cisco IOS XR, Huawei, VMWare"	"Campus/User Access, Service Provider / Edge"	A lot					A little		A little		"VMWare, EVE-NG"	Ansible	Europe	"no prefered approach, varies on case by case"	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade"	"FTP/SCP/TFTP, Vendor specific tools, Low level custom scripts (Python paramiko/socket)"	Partially	Yes	"Excel macros, Low level custom scripts (Python paramiko/socket), Custom scripts using common libraries (netmiko/napalm)"	1 to 5 per month	Less than 1 per month	"Low level custom scripts (Python paramiko/socket), Custom scripts using common libraries (netmiko/napalm)"	We haven’t automated software qualification	"SNMP, Syslog"	We haven’t automated the detection of anomaly	Less than 1 year	Some of us learned on their own	Less than 1 year	201-1000	Learned on my own time	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Thinking about it	Currently Evaluating it	I don't know	I don't know	I don't know	Thinking about it	I don't know	Thinking about it	Currently Evaluating it	Currently Evaluating it	I don't know	Thinking about it	Currently Evaluating it	Thinking about it	I don't know	I don't know	I don't know	
10/10/19 21:09	251-1000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, Dell/EMC"	"Datacenter, Campus/User Access"	A lot	None	None	None	None	A little	None	None	None	VMWare	Ansible	North America	"no prefered approach, varies on case by case"	"Day 0 Provisioning using a vendor solution, Configuration deployment, Software upgrade, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Version control, Vendor specific tools, Low level custom scripts (Python paramiko/socket)"	Partially	Yes	"Ansible, Low level custom scripts (Python paramiko/socket), Network vendor specific tools"	1 to 5 per week	1 to 5 per month	Network vendor specific tools	"Ansible, Network vendor specific tools"	"SNMP, Syslog, Streaming Telemetry"	"Up/Down/Threshold alert, Events correlation / rule engine"	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training, We hired dedicated Network Automation Engineer(s)"	1 to 2 years	201-1000	Learned on my own time	Thinking about it	Currently evaluating it	No interest	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	No interest	Currently evaluating it	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	I don't know	Already in production	Currently Evaluating it	I don't know	Currently Evaluating it	No interest	
