Timestamp	operation-automated	config-track-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	config-automated-changes	config-decide-changes	transport-protocol	software-upgrade	software-validation	telemetry-collect	telemetry-store	anomaly-detection-sources	anomaly-detection-signal	env-virtual-network	sot-present	sot-where	role	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-rust	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-expect	env-language-powershell	env-language-other	env-location	org-preference	culture-blocker	leadership-support	transition-team-how-long	transition-team-actions	transition-self-how-long	transition-self-nbr-hours	transition-self-find-time	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-topics-sot	trend-topics-graph-db	trend-topics-network-verification	trend-topics-keyword-testing	trend-topics-ci	trend-topics-network-health	trend-tools-ansible	trend-tools-terraform	trend-tools-saltstack	trend-tools-napalm	trend-tools-nornir	trend-tools-netbox	trend-tools-elk	trend-tools-grafana	trend-tools-prometheus	trend-tools-influxdb	trend-tools-nso	trend-tools-stackstorm	trend-tools-gns3	trend-tools-eve-ng	trend-tools-cml	feedback
10/1/20 6:35	"Configuration generation, Configuration archiving, Software upgrade"	"Version control, Rancid/Oxidized"	"Ansible, NAPALM, Terraform"	More than 1 a day	1 to 5 per week	Yes	No	"CLI/SSH (Non-Netconf), HTTP/HTTPS (Non-Restconf)"	Internally developed scripts	Internally developed scripts	SNMP Exporter	We are using a traditional Network Monitoring solution	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	"Vagrant, Docker Compose, Non-VMWare hypervisor (KVM/etc.), GNS3, EVE-NG"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	An Entreprise CMDB (ServiceNow)	Network Administrator / Operator	1001-5000	"Arista, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI, F5, Juniper, OCI, Citrix Netscalar"	"Datacenter, WAN, Public Cloud"	A lot	None	None	None	None	None	A little	A little	None	None	Europe	build internally	"Time, Security concerns"	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training"				Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Already in production	Thinking about it	Currently evaluating it	No interest	Currently evaluating it	Currently evaluating it	Currently evaluating it	Already in production	Already in production	Currently evaluating it	Thinking about it	No interest	Already in production	Already in production	Thinking about it	Thinking about it	No interest	Thinking about it	Already in production	Already in production	No interest	
10/1/20 6:36	Configuration archiving	"Version control, FTP/SCP/TFTP, Rancid/Oxidized"	Excel macros	More than 1 a day	1 to 5 per week	Yes	No	"CLI/SSH (Non-Netconf), Serial Console"	We haven’t automated software upgrades	Internally developed scripts	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	VMWare	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"Spreadsheet, An Entreprise CMDB (ServiceNow), An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.), Source Control (GitHub/GitLab/etc.), Database implementation"	Network Administrator / Operator	1001-5000	"Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI, F5, Juniper, Microsoft Azure, Palo Alto, VMWare"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge"	A little						A little			A lot	Europe	use open source without support	Time	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	2 to 5 years	Some of us learned on their own			Learned on my own time	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Thinking about it	No interest	Currently evaluating it	Thinking about it	Currently evaluating it	No interest	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	No interest	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	Thinking about it	Currently evaluating it	Thinking about it	I don't know	
10/1/20 6:54	"Configuration generation, Configuration deployment, Fault Remediation, Data Collection / Reporting"	"Version control, Rancid/Oxidized"	"SaltStack, NAPALM"	More than 1 a day	1 to 5 per week	Yes	Partially	"CLI/SSH (Non-Netconf), Netconf, Restconf"	SaltStack	SaltStack	"Telegraf - SNMP, Telegraf - gNMI, SNMP Exporter"	Prometheus	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog, sFlow/Netflow, API, Streaming / Model-Driven Telemetry"	"Up/Down/Threshold alert, Events correlation / rule engine"	"Vagrant, EVE-NG"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.), Source Control (GitHub/GitLab/etc.), Database implementation"	Network Architect / Engineer	251-1000	"Arista, Cisco NX-OS/ACI, Juniper"	"Datacenter, Internet Peering, WAN, Service Provider / Edge"	A lot	None	None	None	None	None	None	None	None		Europe	no prefered approach / varies on case by case	Time	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training, We hired dedicated Network Automation Engineer(s)"	2 to 5 years	1001-4000	"Learned on my own time, Attended formal training"	Already in production	Already in production	Already in production	Already in production	Already in production	Currently evaluating it	Already in production	Already in production	Already in production	Already in production	Already in production	Already in production	Already in production	No interest	Already in production	Already in production	Already in production	No interest	Already in production	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	Currently evaluating it	No interest	
10/1/20 6:54	"Configuration generation, Configuration deployment, Configuration archiving"	"Rancid/Oxidized, Vendor specific tools, Internally developed scripts"	"Ansible, Internally developed scripts"	More than 1 a day	Less than 1 per month	Yes	No	"CLI/SSH (Non-Netconf), HTTP/HTTPS (Non-Restconf)"	We haven’t automated software upgrades	We haven’t automated software qualification	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"ICMP/PING, SNMP, Syslog"	Up/Down/Threshold alert	VMWare	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), Database implementation"	Network Architect / Engineer	51-250	"Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Juniper"	Service Provider / Edge	None	None	None	None	None		A little	A little	None	None	Europe	no prefered approach / varies on case by case	"Time, Skills Gap, Security concerns"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	2 to 5 years	Some of us learned on their own	1 to 2 years	201-1000	Learned on my own time	Thinking about it	Thinking about it	No interest	No interest	No interest	Thinking about it	No interest	Currently evaluating it	No interest	Thinking about it	No interest	No interest	Already in production	Already in production	No interest	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	No interest	No interest	No interest	Thinking about it	No interest	No interest	
10/1/20 7:26	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving, Pre/Post Change Checks, Data Collection / Reporting, Topology Mapping"	Version control	Internally developed scripts	1 to 5 per week	More than 1 a day	Yes	Partially	"CLI/SSH (Non-Netconf), Netconf, Serial Console"		"Ansible, Internally developed scripts"	"SNMP Exporter, We are using a traditional Network Monitoring solution"	"Prometheus, Grafana, Kibana"	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP"	Up/Down/Threshold alert	We are not using virtual network devices for training or qualification	Yes - we have one or multiple source of data that are accurately representing the network	Database implementation	Network Architect / Engineer	1001-5000	"Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Extreme Networks (brocade), Juniper"	"Datacenter, WAN, Service Provider / Edge"	A little	A little								A lot	Australia / Oceania or Pacific Islands	build internally	"Time, Skills Gap"	Yes - but we are not seeing real investment (reactive)	More than 5 years	started with it	1 to 2 years	201-1000	"Learned on my own time, Dedicated some time per week at work"	Already in production	Already in production	No interest	Already in production	Already in production	Currently evaluating it	No interest	Already in production	Thinking about it	I don't know	I don't know	Already in production	Already in production	Already in production	Already in production	No interest	No interest	No interest	Currently evaluating it	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	
10/1/20 7:35	Data Collection / Reporting	"Version control, Rancid/Oxidized"	"SaltStack, NAPALM"	1 to 5 per week	1 to 5 per week	Yes	No	"CLI/SSH (Non-Netconf), Netconf, Restconf"			"SNMP Exporter, Logstash, Another open source project (not listed above), We are using a traditional Network Monitoring solution"	"Elasticsearch, Grafana, Kibana, We are using a traditional Network Monitoring solution"	"ICMP/PING, SNMP, Syslog, sFlow/Netflow, Routing Information"	"Up/Down/Threshold alert, Events correlation / rule engine"	"Vagrant, Docker Compose, GNS3, Vendor provided solution (CML/VIRL/Junosphere/etc.)"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.)"	Network Architect / Engineer	251-1000	"Amazon AWS, Arista, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco NX-OS/ACI, Fortinet, Juniper, Palo Alto"	Service Provider / Edge	A lot	None	None	A little	None	None	None	None	None	None	Australia / Oceania or Pacific Islands	use open source with support	"Time, Poor leadership / no automation strategy"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	Less than 1 year	Some of us learned on their own				Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	Already in production	I don't know	Currently evaluating it	I don't know	I don't know	Already in production	Thinking about it	Already in production	Currently evaluating it	Currently evaluating it	No interest	Already in production	Already in production	Already in production	Thinking about it	I don't know	No interest	No interest	Already in production	No interest	No interest	
10/1/20 7:36	"Configuration deployment, Configuration archiving, Troubleshooting, Software upgrade, Data Collection / Reporting"	Rancid/Oxidized	Internally developed scripts	More than 1 a day	More than 1 a day	Yes	Partially	CLI/SSH (Non-Netconf)	Internally developed scripts		We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"ICMP/PING, SNMP, sFlow/Netflow"		"VMWare, Docker Compose, GNS3"	Yes - we have one or multiple source of data that are accurately representing the network	"An IPAM (Infoblox/Netbox/etc.), Source Control (GitHub/GitLab/etc.)"	Network Architect / Engineer	251-1000	"Amazon AWS, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Google GCP, Microsoft Azure, Riverbed"	"Datacenter, Campus/User Access, Internet Peering, WAN, Public Cloud"	A lot						A lot				Europe	use open source with support	"Time, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	0-200	Learned on my own time	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	Already in production			Already in production		Currently evaluating it		Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it				Already in production	Thinking about it			Thinking about it						
10/1/20 7:46	"Configuration generation, Configuration deployment, Configuration archiving, Topology Mapping"	Version control	Ansible	1 to 5 per week	Less than 1 per month	Yes	No	"CLI/SSH (Non-Netconf), Netconf"	We haven’t automated software upgrades	We haven’t automated software qualification	Logstash	"Elasticsearch, Kibana"	"SNMP, Syslog"	Up/Down/Threshold alert	We are not using virtual network devices for training or qualification	Yes - we have one or multiple source of data that are accurately representing the network	"Spreadsheet, An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.)"	Network Automation Engineer	1001-5000	"Arista, Checkpoint, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco NX-OS/ACI, F5, Fortinet, Juniper, HPE, Huawei, Nokia"	Datacenter	A lot										Europe	use open source without support	"Time, Fear / Distrust of automation, Skills Gap"	Yes - but we are not seeing real investment (reactive)	1 to 2 years	Some of us learned on their own	1 to 2 years	201-1000	"Learned on my own time, Dedicated some time per week at work"	Already in production	Thinking about it	No interest	Thinking about it	Already in production	No interest	No interest	Already in production	Already in production	No interest	No interest	Already in production	Already in production	Already in production	No interest	No interest	No interest	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
10/1/20 8:39	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Software upgrade, Fault Remediation, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Version control, Rancid/Oxidized, Vendor specific tools, Internally developed scripts"	"SaltStack, NAPALM"	More than 1 a day	More than 1 a day	Yes	Yes	"CLI/SSH (Non-Netconf), Netconf, Restconf, HTTP/HTTPS (Non-Restconf)"	SaltStack	SaltStack	"SNMP Exporter, BlackBox Exporter, Node Exporter, Another open source project (not listed above), We are using a traditional Network Monitoring solution"	"Prometheus, Kentik, Grafana, Kibana"	"ICMP/PING, SNMP, Syslog, API"	"Up/Down/Threshold alert, Events correlation / rule engine"	"vrnetlab, Docker Compose, Kubernetes"	Yes - we have one or multiple source of data that are accurately representing the network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.)"	Software Engineer / Developer	5001-10000	"Arista, Ciena, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Juniper, Palo Alto, OpenGear"	Datacenter	A lot	A little									Europe	use open source without support	"Time, Budget"	Yes - but we are not seeing real investment (reactive)	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training, We hired dedicated Network Automation Engineer(s)"				I don't know	Already in production	Thinking about it	Already in production	Already in production	Currently evaluating it	No interest	Already in production	Already in production	Already in production	I don't know	Already in production	Already in production	No interest	No interest	Already in production	Already in production	No interest	Already in production	Already in production	Already in production	Already in production	Currently evaluating it	No interest	No interest	No interest	No interest	No interest	
10/1/20 9:29	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Pre/Post Change Checks, Data Collection / Reporting, Compliance Checks, Topology Mapping"	Version control	Internally developed scripts	1 to 5 per week	1 to 5 per week	Yes	No	CLI/SSH (Non-Netconf)	We haven’t automated software upgrades	Internally developed scripts	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution		We haven’t automated the detection of anomaly	GNS3	No - the configurations of our network devices is our only accurate source of information	We don’t have a source of truth	Network Architect / Engineer	1001-5000	"Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI"	"Datacenter, Campus/User Access"	A lot										North America	build internally	"Time, Fear / Distrust of automation, Fear of layoffs / redundancy, Skills Gap"	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	More than 5 years	"Some of us learned on their own, Some of us took some network automation / programming training"	More than 5 years	1001-4000	Learned on my own time									Currently evaluating it	Currently evaluating it																Currently evaluating it		Currently evaluating it	
10/1/20 9:46	"Configuration generation, Configuration deployment, Configuration archiving"	"Version control, Vendor specific tools"	"Ansible, Controller"	1 to 5 per month	Less than 1 per month	Yes	No	CLI/SSH (Non-Netconf)	"Ansible, Network vendor specific tools (DNAC/CVP/Space/PI/etc.)"	We haven’t automated software qualification	Logstash	Network vendor specific tools (CVP/Tetration ..)	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	GNS3	Yes - we have one or multiple source of data that are accurately representing the network	A DCIM (Netbox/Device42/etc.)	Network Architect / Engineer	251-1000	"Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco Meraki, Microsoft Azure, VMWare"	"Campus/User Access, WAN, Public Cloud"	A little	None	None	None	None	None	A little	None	None	None	North America	use open source without support	"Time, Budget, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	Less than 1 year	Some of us learned on their own				Currently evaluating it	Thinking about it	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	Already in production	Thinking about it	Thinking about it	No interest	Currently evaluating it	Currently evaluating it	Already in production	No interest	No interest	Already in production	Already in production	Already in production	Already in production	Currently evaluating it	I don't know	I don't know	No interest	I don't know	Already in production	Currently evaluating it	Currently evaluating it	
10/1/20 10:46	"Configuration deployment, Troubleshooting, Software upgrade, Fault Remediation, Anomaly detection, Data Collection / Reporting"	"Version control, Splunk"	Terraform	More than 1 a day	1 to 5 per week	Yes	Partially	"Netconf, gNMI/gRPC"	Internally developed scripts	Internally developed scripts	"Internally developed collector, Another open source project (not listed above)"	Splunk	"Syslog, sFlow/Netflow, API, Streaming / Model-Driven Telemetry"	"Events correlation using AI/ML, Proactive monitoring data analysis using AI/ML"		Yes - we have one or multiple source of data that are accurately representing the network	Source Control (GitHub/GitLab/etc.)	Sales or Presales	1001-5000	"Amazon AWS, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Dell/EMC, F5, Fortinet, Google GCP, Juniper, VMWare"	"Datacenter, WAN"	None	None	None	None	None	None	A little	None	A little	None	Europe	no prefered approach / varies on case by case	"Time, Budget"	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	2 to 5 years	"Some of us learned on their own, We engaged a consulting firm to help get started, We hired dedicated Network Automation Engineer(s)"	1 to 2 years	0-200	"Learned on my own time, Attended formal training"	Currently evaluating it	Currently evaluating it	No interest	Thinking about it	Currently evaluating it	Already in production	No interest	Thinking about it	No interest	No interest	No interest	Currently evaluating it	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	No interest	I don't know	I don't know	I don't know	I don't know	
10/1/20 11:04	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving, Topology Mapping"	"Version control, Solarwind NCM"	"Nornir, NAPALM, Internally developed scripts, Gitlab Runners"	More than 1 a day	1 to 5 per month	Yes	No	"CLI/SSH (Non-Netconf), Netconf"	We haven’t automated software upgrades	We haven’t automated software qualification	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"ICMP/PING, Other active probes (IP SLA/RPM), External probes (pingmesh), SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	"GNS3, EVE-NG"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.), Source Control (GitHub/GitLab/etc.)"	Network Architect / Engineer	251-1000	"Extreme Networks (brocade), Juniper"	"Datacenter, Campus/User Access, WAN"	A lot	None	None	A little	None	None	None	None	A little	None	North America	no prefered approach / varies on case by case	"Time, Skills Gap"	Yes - but we are not seeing real investment (reactive)	Less than 1 year	Some of us learned on their own			Learned on my own time	Currently evaluating it	No interest	No interest	Already in production	Thinking about it	Thinking about it	I don't know	Already in production	I don't know	Currently evaluating it	I don't know	Already in production	Thinking about it	No interest	I don't know	No interest	Already in production	Already in production	Already in production	Already in production	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	Currently evaluating it	Currently evaluating it	I don't know	
10/1/20 12:13	Configuration generation	Rancid/Oxidized	Internally developed scripts	1 to 5 per month	Less than 1 per month	Yes	No		We haven’t automated software upgrades	We haven’t automated software qualification	Telegraf - gNMI	"InfluxDB, Grafana"	"SNMP, Syslog, sFlow/Netflow"	We haven’t automated the detection of anomaly	We are not using virtual network devices for training or qualification	Partially - we are trying to maintain some source of data but there is always a drift with the real network	An IPAM (Infoblox/Netbox/etc.)	Network Architect / Engineer	51-250	"Ciena, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cumulus, Juniper, Calix"	Service Provider / Edge	A little	None	None	None	None	None	A little	None	None	None	North America	build internally	"Time, Budget"	Yes - but we are not seeing real investment (reactive)	1 to 2 years	Some of us learned on their own				Thinking about it	Thinking about it	Thinking about it	No interest	No interest	Currently evaluating it	No interest	Currently evaluating it	I don't know	Thinking about it	I don't know	No interest	Thinking about it	Already in production	No interest	No interest	Thinking about it	Thinking about it	Already in production	Already in production	Already in production	Thinking about it	Already in production	Thinking about it	I don't know	No interest	No interest	Thinking about it	
10/1/20 13:26	"Compliance Checks, Topology Mapping"	Version control	Ansible	1 to 5 per week	1 to 5 per month	Yes	No	CLI/SSH (Non-Netconf)	Ansible	We haven’t automated software qualification	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"SNMP, Syslog"	We haven’t automated the detection of anomaly	We are not using virtual network devices for training or qualification	Partially - we are trying to maintain some source of data but there is always a drift with the real network	Database implementation	Network Administrator / Operator	251-1000	"Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	None	A little	None	None	None	North America	use open source with support	Time	Yes - but we are not seeing real investment (reactive)	Less than 1 year	"Some of us learned on their own, We engaged a consulting firm to help get started"				Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	Already in production	No interest	No interest	No interest	Thinking about it	Thinking about it	Already in production	Already in production														
10/1/20 13:34	Configuration deployment	"Version control, Rancid/Oxidized"	Ansible	Less than 1 per month	Less than 1 per month	Yes	No	CLI/SSH (Non-Netconf)	We haven’t automated software upgrades	We haven’t automated software qualification	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"ICMP/PING, External probes (pingmesh), SNMP, Syslog, sFlow/Netflow, Routing Information"	Up/Down/Threshold alert	Non-VMWare hypervisor (KVM/etc.)	Partially - we are trying to maintain some source of data but there is always a drift with the real network	Source Control (GitHub/GitLab/etc.)	System Administrator	0-50	"Dell/EMC, Extreme Networks (brocade), Huawei"	"Datacenter, Internet Peering"	A lot	None	None	None	None	A little	A lot	None	None	None	Europe	use open source without support	"Time, Budget, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	Some of us learned on their own	Less than 1 year	0-200	Learned on my own time	Already in production	Thinking about it	No interest	Thinking about it	Already in production	Thinking about it	No interest	Currently evaluating it	No interest	Thinking about it	No interest	Thinking about it	Currently evaluating it	Already in production	No interest	No interest	Thinking about it	No interest	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	Currently evaluating it	No interest	Already in production	No interest	Thinking about it	I don't know	
10/1/20 13:42	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving, Pre/Post Change Checks, Data Collection / Reporting, Topology Mapping"	"Version control, Rancid/Oxidized, Internally developed scripts"	"Ansible, NAPALM, Terraform"	More than 1 a day	1 to 5 per month	Yes	Partially	CLI/SSH (Non-Netconf)	Ansible				"ICMP/PING, Other active probes (IP SLA/RPM), SNMP"	Up/Down/Threshold alert	EVE-NG	Yes - we have one or multiple source of data that are accurately representing the network	An IPAM (Infoblox/Netbox/etc.)	Network Architect / Engineer	10001-50000	"Amazon AWS, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI, F5, Fortinet, Microsoft Azure, Palo Alto"	"Datacenter, Campus/User Access, WAN, Service Provider / Edge, Public Cloud"	A lot	A little	None	A little	None	None	A little	None	None	A little	Europe	no prefered approach / varies on case by case	"Time, Fear / Distrust of automation, Skills Gap"	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training, We hired dedicated Network Automation Engineer(s)"	2 to 5 years	1001-4000	Learned on my own time	Already in production	Already in production	Currently evaluating it	Already in production	Already in production	Thinking about it	Thinking about it	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	Already in production	Already in production	Already in production	No interest	Already in production	Thinking about it	Already in production	Currently evaluating it	Already in production	Already in production	Thinking about it	No interest	No interest	No interest	Already in production	No interest	
10/1/20 13:43	"Configuration generation, Configuration deployment, Pre/Post Change Checks, Data Collection / Reporting, Compliance Checks"	Version control	"Ansible, Nornir, NAPALM"	1 to 5 per week	Less than 1 per month	Yes	Yes	"CLI/SSH (Non-Netconf), Netconf, Restconf"	Nornir	"Robot Framework / Behave, Internally developed scripts"	"Telegraf - SNMP, Kafka"	"Splunk, Grafana"	"ICMP/PING, SNMP, Syslog, Routing Information, API"	Events correlation / rule engine	GNS3	Yes - we have one or multiple source of data that are accurately representing the network	"An IPAM (Infoblox/Netbox/etc.), Source Control (GitHub/GitLab/etc.)"	Network Automation Engineer	51-250	"Cisco IOS/IOS XE/Viptela, Mikrotik"	"WAN, Service Provider / Edge"	A lot			A lot			A little				Africa	no prefered approach / varies on case by case	"Time, Budget, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	201-1000	"Learned on my own time, Dedicated some time per week at work"		Currently evaluating it		Currently evaluating it				Already in production				Currently evaluating it	Currently evaluating it				Currently evaluating it	Currently evaluating it	Currently evaluating it		Currently evaluating it	Currently evaluating it				Currently evaluating it			
10/1/20 14:12	"Configuration deployment, Troubleshooting, Software upgrade, Pre/Post Change Checks, Compliance Checks"	FTP/SCP/TFTP	Ansible	Not sure	Not sure	Yes	No	CLI/SSH (Non-Netconf)	Ansible	Ansible	Another open source project (not listed above)	Network vendor specific tools (CVP/Tetration ..)	API	We haven’t automated the detection of anomaly	GNS3	Yes - we have one or multiple source of data that are accurately representing the network	An Entreprise CMDB (ServiceNow)	Network Automation Engineer	51-250	Cisco IOS XR	"Datacenter, Campus/User Access, WAN"	A little						A little		A little		North America	use open source without support	Fear / Distrust of automation	Yes - but we are not seeing real investment (reactive)	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"	Less than 1 year	0-200	"Learned on my own time, Dedicated some time per week at work, Attended formal training"	Thinking about it	Thinking about it		Thinking about it	Thinking about it									Currently evaluating it	Thinking about it		Thinking about it									Currently evaluating it			
10/1/20 14:29	"Configuration deployment, Troubleshooting, Software upgrade, Pre/Post Change Checks, Compliance Checks"	FTP/SCP/TFTP	Ansible	Not sure	Not sure	Yes	No	CLI/SSH (Non-Netconf)	Ansible	Ansible	Another open source project (not listed above)	Network vendor specific tools (CVP/Tetration ..)	API	We haven’t automated the detection of anomaly	GNS3	Yes - we have one or multiple source of data that are accurately representing the network	An Entreprise CMDB (ServiceNow)	Network Automation Engineer	51-250	Cisco IOS XR	"Datacenter, Campus/User Access, WAN"	A little						A little		A little		North America	use open source without support	Fear / Distrust of automation	Yes - but we are not seeing real investment (reactive)	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"	Less than 1 year	0-200	"Learned on my own time, Dedicated some time per week at work, Attended formal training"	Thinking about it	Thinking about it		Thinking about it	Thinking about it									Currently evaluating it	Thinking about it		Thinking about it									Currently evaluating it			
